county_fips,county,population,vehicle_access,transit_dependence,road_density,veh_norm,road_norm,transit_norm,score_M,mobility_category
37001,Alamance,171779,0.9503785067537479,0.04962149324625204,0.6681145328458198,0.7828516076673737,0.6681145328458198,0.21714839233262584,0.7446059160601892,High
37003,Alexander,36505,0.9718770438194899,0.028122956180510136,0.39704840393275814,0.9100381252526211,0.39704840393275814,0.08996187474737896,0.7390415514793334,High
37005,Alleghany,10989,0.9436905003038283,0.056309499696171765,0.19090848750606768,0.743284996816051,0.19090848750606768,0.25671500318394913,0.5591594937127231,Medium
37007,Anson,22200,0.9288652310670216,0.07113476893297846,0.31092263224011907,0.6555778955966933,0.31092263224011907,0.34442210440330656,0.5406928078111686,Medium
37009,Ashe,26759,0.9581324536919563,0.041867546308043645,0.3431776358290499,0.8287243805726068,0.3431776358290499,0.17127561942739278,0.666875465658088,High
37011,Avery,17679,0.955253818855115,0.04474618114488505,0.27178039091297757,0.8116942199073562,0.27178039091297757,0.1883057800926436,0.6317229435758966,Medium
37013,Beaufort,44711,0.9418616909129243,0.05813830908707569,0.4323467972936092,0.7324656607354146,0.4323467972936092,0.26753433926458486,0.6324260395881462,Medium
37015,Bertie,17818,0.8868843069873997,0.11311569301260023,0.27312281914841846,0.4072164595431618,0.27312281914841846,0.5927835404568377,0.36251857941158083,Medium
37017,Bladen,29807,0.9213068680836114,0.07869313191638855,0.3618580540236455,0.6108622080331405,0.3618580540236455,0.38913779196685894,0.5278608233633091,Medium
37019,Brunswick,139721,0.9764918328818846,0.023508167118115406,0.6318277706944819,0.9373394689878539,0.6318277706944819,0.06266053101214573,0.8355022362233966,High
37021,Buncombe,269449,0.945929402162824,0.05407059783717608,0.7472664821001035,0.7565304623000517,0.7472664821001035,0.2434695376999483,0.7534424689000689,High
37023,Burke,87799,0.9538854950987357,0.04611450490126438,0.5503189509184051,0.8035991419506162,0.5503189509184051,0.19640085804938381,0.7191724116065459,High
37025,Cabarrus,226396,0.962656087408949,0.037343912591050986,0.716646538206201,0.855486444313787,0.716646538206201,0.14451355568621294,0.8092064756112582,High
37027,Caldwell,80716,0.9520236612702366,0.04797633872976339,0.5355824834702572,0.7925844314963619,0.5355824834702572,0.20741556850363793,0.7069171154876603,High
37029,Camden,10547,0.9870834409713253,0.012916559028674762,0.18399443812037578,1.0,0.18399443812037578,0.0,0.7279981460401252,High
37031,Carteret,68353,0.9605773656868547,0.039422634313145265,0.5064786886916057,0.8431886132542361,0.5064786886916057,0.15681138674576345,0.7309519717333595,High
37033,Caswell,22747,0.9525096978958505,0.04749030210414952,0.31511908202091554,0.7954598506768241,0.31511908202091554,0.20454014932317569,0.6353462611248546,Medium
37035,Catawba,161011,0.9508550324322647,0.04914496756773533,0.656739732173377,0.7856707595661822,0.656739732173377,0.21432924043381746,0.7426937504352472,High
37037,Chatham,76754,0.9691304487488356,0.030869551251164435,0.5267681541437242,0.8937891190441946,0.5267681541437242,0.10621088095580537,0.7714487974107045,High
37039,Cherokee,28868,0.9571249412133563,0.042875058786643674,0.35631128147572033,0.8227638818100651,0.35631128147572033,0.17723611818993482,0.6672796816986168,High
37041,Chowan,13835,0.8975225225225225,0.10247747747747747,0.22991259304370068,0.47015272274544345,0.22991259304370068,0.5298472772545562,0.3900726795115293,Medium
37043,Clay,11186,0.9266148814390842,0.07338511856091579,0.19390480817352276,0.6422647044873926,0.19390480817352276,0.35773529551260713,0.4928114057161027,Medium
37045,Cleveland,99527,0.9349139934913994,0.06508600650860065,0.5722979236267478,0.6913627039352582,0.5722979236267478,0.3086372960647416,0.6516744438324215,Medium
37047,Columbus,50827,0.9382329945269742,0.0617670054730258,0.4547073519485094,0.7109980950451612,0.4547073519485094,0.2890019049548384,0.6255678473462774,Medium
37049,Craven,101098,0.9407862647546581,0.05921373524534192,0.5750443751589326,0.7261033809406693,0.5750443751589326,0.27389661905933055,0.6757503790134237,High
37051,Cumberland,335207,0.9308848475285021,0.0691151524714979,0.785687530001779,0.667526056711473,0.785687530001779,0.33247394328852664,0.7069132144749084,High
37053,Currituck,28616,0.9828051854519265,0.01719481454807346,0.35479249225646176,0.9746896070561343,0.35479249225646176,0.025310392943865372,0.7680572354562435,High
37055,Dare,37160,0.982090666003358,0.017909333996642,0.400140597819504,0.9704624710360201,0.400140597819504,0.029537528963979834,0.780355179963848,High
37057,Davidson,169498,0.9581585012706105,0.04184149872938952,0.6657655202614503,0.8288784794682863,0.6657655202614503,0.17112152053171373,0.7745074930660076,High
37059,Davie,43030,0.9500850133592422,0.04991498664075783,0.42566910051769813,0.7811152847414321,0.42566910051769813,0.21888471525856792,0.6626332233335208,High
37061,Duplin,49312,0.9478042288925034,0.05219577110749667,0.4494270615377323,0.7676220394661855,0.4494270615377323,0.23237796053381465,0.6615570468233677,High
37063,Durham,325101,0.9302201979788733,0.0697798020211266,0.7803006081653425,0.6635939537328667,0.7803006081653425,0.3364060462671328,0.7024961718770254,High
37065,Edgecombe,49067,0.8958139534883721,0.10418604651162791,0.44855809373027933,0.4600447351720072,0.44855809373027933,0.5399552648279927,0.4562158546914313,Medium
37067,Forsyth,383739,0.9335514970998589,0.0664485029001411,0.8094843403466055,0.6833021009866677,0.8094843403466055,0.31669789901333173,0.7253628474399805,High
37069,Franklin,69680,0.9679673629735958,0.03203263702640426,0.5098430107479834,0.8869082401753985,0.5098430107479834,0.11309175982460136,0.7612198303662602,High
37071,Gaston,228972,0.9464319285169253,0.05356807148307475,0.7186361421456292,0.7595034356134222,0.7186361421456292,0.2404965643865777,0.7458810044574911,High
37073,Gates,10509,0.9662162162162162,0.033783783783783786,0.18338715862315197,0.876548360469597,0.18338715862315197,0.12345163953040275,0.645494626520782,Medium
37075,Graham,8047,0.9355143126769424,0.06448568732305757,0.13877536014950487,0.6949142249720315,0.13877536014950487,0.30508577502796813,0.5095346033645227,Medium
37077,Granville,61161,0.9588002790048826,0.041199720995117414,0.48703565207239513,0.8326752715400543,0.48703565207239513,0.16732472845994575,0.7174620650508345,High
37079,Greene,20407,0.9452377447372295,0.054762255262770496,0.2964215522443688,0.7524385792545067,0.2964215522443688,0.24756142074549328,0.6004329035844608,Medium
37081,Guilford,539557,0.9367085633736638,0.0632914366263362,0.8694777542865936,0.7019794772157198,0.8694777542865936,0.29802052278428,0.7578122362393445,High
37083,Halifax,48772,0.9077908535677044,0.09220914643229555,0.4475060681294761,0.5309007291356211,0.4475060681294761,0.46909927086437825,0.5031025088002397,Medium
37085,Harnett,134718,0.9573010236055985,0.042698976394401504,0.625424760646383,0.8238055948442534,0.625424760646383,0.17619440515574664,0.7576786501116299,High
37087,Haywood,62152,0.9567236886824516,0.04327631131754843,0.48984559599509425,0.8203900499571357,0.48984559599509425,0.17960995004286426,0.7102085653031218,High
37089,Henderson,116469,0.96322786600396,0.03677213399603992,0.5998737846762406,0.8588691176606688,0.5998737846762406,0.14113088233933083,0.7725373399991928,High
37091,Hertford,21633,0.9100921824494194,0.08990781755058062,0.30646463536340496,0.5445155162901432,0.30646463536340496,0.45548448370985656,0.46516522264789717,Medium
37093,Hoke,52612,0.9480006493155132,0.05199935068448677,0.46073224239479793,0.7687840733994176,0.46073224239479793,0.23121592660058204,0.6661001297312111,High
37095,Hyde,4636,0.978021978021978,0.02197802197802198,0.049015957640951686,0.9463918910746847,0.049015957640951686,0.053608108925314944,0.6472665799301072,Medium
37097,Iredell,187839,0.9668031426358304,0.033196857364169524,0.6838223866470335,0.8800206491728346,0.6838223866470335,0.11997935082716493,0.814621228330901,High
37099,Jackson,42388,0.9522467159046062,0.04775328409539381,0.42305049455526794,0.7939040348763483,0.42305049455526794,0.20609596512365144,0.670286188102655,High
37101,Johnston,219042,0.9587337977250683,0.04126620227493166,0.7108397885431446,0.8322819646634821,0.7108397885431446,0.1677180353365173,0.7918012392900364,High
37103,Jones,9263,0.9221494102228047,0.07785058977719528,0.16221852756541882,0.6158467332720036,0.16221852756541882,0.3841532667279962,0.46463733136980867,Medium
37105,Lee,63560,0.9604989604989604,0.0395010395010395,0.49376242065175024,0.8427247638872586,0.49376242065175024,0.15727523611274088,0.726403982808756,High
37107,Lenoir,55071,0.91431722920803,0.08568277079197,0.4687085589156776,0.5695111233037399,0.4687085589156776,0.4304888766962601,0.5359102685077191,Medium
37109,Lincoln,87933,0.9656258951589802,0.03437410484101976,0.5505862029621214,0.8730559889050812,0.5505862029621214,0.1269440110949185,0.7655660602574279,High
37111,McDowell,44629,0.9358227012758469,0.0641772987241531,0.4320268597316087,0.6967386687394241,0.4320268597316087,0.30326133126057553,0.6085013990701524,Medium
37113,Macon,37088,0.9356378695502128,0.06436213044978718,0.39980333457535405,0.6956451941717926,0.39980333457535405,0.30435480582820695,0.5970312409729799,Medium
37115,Madison,21414,0.9553687699775069,0.044631230022493196,0.304712116485663,0.8123742770156531,0.304712116485663,0.18762572298434696,0.6431535568389897,Medium
37117,Martin,21992,0.9070938705529361,0.09290612944706386,0.3093003134976949,0.5267773396141219,0.3093003134976949,0.47322266038587774,0.454284997575313,Medium
37119,Mecklenburg,1115403,0.9440441215986242,0.05595587840137578,0.9973820475644388,0.7453770396788532,0.9973820475644388,0.25462296032114623,0.8293787089740485,High
37121,Mitchell,14989,0.9161907701805834,0.08380922981941658,0.24355805196736022,0.5805950938606039,0.24355805196736022,0.4194049061393955,0.46824941322952285,Medium
37123,Montgomery,25839,0.9557075223566543,0.04429247764334561,0.33712682958684514,0.814378354562685,0.33712682958684514,0.1856216454373145,0.6552945129040718,Medium
37125,Moore,100759,0.9578526638265281,0.04214733617347183,0.5744553396861373,0.8270691284719341,0.5744553396861373,0.17293087152806533,0.742864532210002,High
37127,Nash,95015,0.9312571111052311,0.06874288889476887,0.5641632997351825,0.669728388330746,0.5641632997351825,0.3302716116692538,0.6345400254655582,Medium
