experiment,description,MAE,RMSE,R2,F1,AUC
A,Linear/Logistic baseline,7.308408564813338,17.005854285934877,0.6252895289140544,0.9968586387434555,0.9999679321444176
B,MLP hidden=[32],6.3518889405691565,15.815819339680136,0.6198443425472304,0.8633484162895928,0.9855093377586973
C,"MLP hidden=[64,128]",1.953947055663148,7.702903269326512,0.903815052366231,0.9714867617107943,0.9988014638976073
D,"MLP hidden=[128,256,128]",0.9771717344502183,4.387160871340648,0.9500518248853778,0.98043254376931,0.9988375402351376
E,"MLP [64,128] WITHOUT HSI features",1.3164591526929765,6.233483338494575,0.930486504378484,0.9865563598759048,0.9994307955634122
F,"MLP [64,128] ONLY HSI features",9.831396414027669,20.859315550901446,-0.002053774087838689,0.6459038591740014,0.49183873075427603
